name,owner,lat,lng
A31RaststätteEms-VechteOst,A31RaststätteEms-VechteOst,52.52832,7.199853
A31RaststätteEms-VechteOst,A31RaststätteEms-VechteOst,52.5278763,7.1965148
A30;AutobahnraststätteGrönegauSüd,A30;AutobahnraststätteGrönegauSüd,52.196168,8.386
A30;AutobahnraststätteGrönegauNord,A30;AutobahnraststätteGrönegauNord,52.197118,8.3854
A3RaststätteLandsberganderWarthe,A3RaststätteLandsberganderWarthe,50.521421,7.695711
A30GrönegauNord,A30GrönegauNord,52.1972432726496,8.38662590258778
A3RaststätteLimburgOst,A3RaststätteLimburgOst,50.396011,8.077496
A30RaststätteBentheimerWaldSüd,A30RaststätteBentheimerWaldSüd,52.312502,7.041832
A3;AutobahnraststätteHünxeWest,A3;AutobahnraststätteHünxeWest,51.635664,6.744846
A3RaststätteSessenhausenWest,A3RaststätteSessenhausenWest,50.522865,7.67526
A28RaststätteHasbruchNord,A28RaststätteHasbruchNord,53.0557945,8.5012833
A3AutobahnraststätteHünxeOst,A3AutobahnraststätteHünxeOst,51.636934,6.746968
A27AutobahnraststätteGoldbachNord,A27AutobahnraststätteGoldbachNord,53.000779,9.179497
A28RaststätteHasbruchSüd,A28RaststätteHasbruchSüd,53.0543856,8.5015597
A2RaststätteVellern,A2RaststätteVellern,51.79108,8.074054
A28RastätteHasbruchSüd,A28RastätteHasbruchSüd,53.054472,8.502735
A29RaststätteHuntetalWest,A29RaststätteHuntetalWest,53.041733,8.22121386
A29RaststätteHuntetalWest,A29RaststätteHuntetalWest,53.044915,8.220136
A27GoldbachSüd,A27GoldbachSüd,52.9987060209445,9.18083011994168
A29RaststätteHuntetalOst,A29RaststätteHuntetalOst,53.044883,8.220073
A28RastätteHasbruchNord,A28RastätteHasbruchNord,53.055839,8.500203
A1AutobahnraststätteHochwaldWest,A1AutobahnraststätteHochwaldWest,49.690732,6.905155
A2RaststätteAuetalNord,A2RaststätteAuetalNord,52.223838,9.221553
A2AutobahnraststätteObergassel,A2AutobahnraststätteObergassel,51.9298,8.5321
A1RaststätteEifelOst,A1RaststätteEifelOst,50.070167,6.881029
A2RaststätteLehrterSeeSüd,A2RaststätteLehrterSeeSüd,52.386537,9.998724
A1;AutobahnraststätteEhrenbergWest,A1;AutobahnraststätteEhrenbergWest,51.265608,7.245148
A2RaststätteLehrterSeeNord,A2RaststätteLehrterSeeNord,52.388699,9.996509
A2RaststätteAuetalSüd,A2RaststätteAuetalSüd,52.226935,9.23278
A1AutobahnraststätteEifelWest,A1AutobahnraststätteEifelWest,50.068546,6.880064
A65AutobahnraststätteOst,A65AutobahnraststätteOst,49.270411,8.1539431
A7Hannover-WülferodeOst,A7Hannover-WülferodeOst,52.333217,9.865709
A7IllertalWest,A7IllertalWest,48.1255219974989,10.1090165697394
A7BrunautalOst,A7BrunautalOst,53.1093199379648,9.98404948628019
A7BrunautalWest,A7BrunautalWest,53.1093414804248,9.98145864405777
A7GöttingenWest,A7GöttingenWest,51.4948472,9.8769071
A67RaststätteBüttelbornSüd,A67RaststätteBüttelbornSüd,49.892556,8.543816
A67BABOst,A67BABOst,49.644301,8.554091
A67RaststättePfungstadtOst,A67RaststättePfungstadtOst,49.812029,8.57926
A65RaststättePfälzerWeinstrasseWest,A65RaststättePfälzerWeinstrasseWest,49.2698426,8.1516398
A66RastplatzDistelrasen,A66RastplatzDistelrasen,50.3885835,9.530635
A67AutobahnraststättePfungstadtWest,A67AutobahnraststättePfungstadtWest,49.812467,8.576894
A61RaststätteHunsrückWest,A61RaststätteHunsrückWest,49.963249,7.765878
A61RaststätteWonnegauOst,A61RaststätteWonnegauOst,49.649472,8.2935173
A61RaststätteWonnegauWest,A61RaststätteWonnegauWest,49.6445062,8.2902018
A6RastätteOberpfälzerAlbNord,A6RastätteOberpfälzerAlbNord,49.424386,11.690394
A6AutobahnraststätteGoldeneBremmSüd,A6AutobahnraststätteGoldeneBremmSüd,49.207538,6.967183
A6RaststätteWaldmohr,A6RaststätteWaldmohr,49.375756,7.376096
A6AutobahnraststätteHomburgSaarSüd,A6AutobahnraststätteHomburgSaarSüd,49.347098,7.312829
A6RaststätteOberpfälzerAlbSüd,A6RaststätteOberpfälzerAlbSüd,49.422812,11.687921
A6AutobahnraststättePfalz/Wattenheim,A6AutobahnraststättePfalz/Wattenheim,49.527511,8.072672
A6AutobahnraststätteGoldeneBremmNord,A6AutobahnraststätteGoldeneBremmNord,49.209508,6.966453
A52RaststätteRatingenHohenstein,A52RaststätteRatingenHohenstein,51.290358,6.804531
A5,A5,48.309678,7.788862
A5,A5,48.563031,7.9559225
A5,A5,48.308982,7.7915649
A48AutobahnraststätteGrenzauSüd,A48AutobahnraststätteGrenzauSüd,50.439252,7.647426
A48RaststätteElztalSüd,A48RaststätteElztalSüd,50.26562,7.227234
A48RaststätteElztalNord,A48RaststätteElztalNord,50.266989,7.22483
A45;AutobahnraststätteKaltenborn,A45;AutobahnraststätteKaltenborn,51.288867,7.5718
A45RaststätteDollenbergOst,A45RaststätteDollenbergOst,50.688404,8.2958
A45RaststätteSiegerlandOst,A45RaststätteSiegerlandOst,50.877464,7.945967
A45RaststätteKatzenfurtSüd,A45RaststätteKatzenfurtSüd,50.620259,8.363304
A45AutobahnraststätteSiegerlandWest,A45AutobahnraststätteSiegerlandWest,50.879829,7.935568
A45AutobahnraststätteLangen-BergheimOst,A45AutobahnraststätteLangen-BergheimOst,50.250654,8.994512
A44RaststätteSoesterBördeNord,A44RaststätteSoesterBördeNord,51.548396,8.132224
AlteDorfstraße22,AlteDorfstraße22,48.747701,9.394326
AlltannerStr.12,AlltannerStr.12,47.821392,9.794651
Allee0,Allee0,48.430245,9.254893
AlteKarlsruherStraße42,AlteKarlsruherStraße42,49.0034,8.4561
Albstr.81a,Albstr.81a,48.741798,9.16575
Albstraße2,Albstraße2,48.412828,9.534894
AllingerStraße1,AllingerStraße1,48.615263,13.178275
Altbacherstraße9,Altbacherstraße9,48.71583,9.38914
Adenauerring4,Adenauerring4,52.074865,6.9963447
Adelsförsterpfad7,Adelsförsterpfad7,49.2943096,8.666893
A93AutobahnraststätteInntalWest,A93AutobahnraststätteInntalWest,47.612497,12.200201
Albstr.2,Albstr.2,48.121087,9.078328
Adolf-Pirrung-Straße7,Adolf-Pirrung-Straße7,48.101806,9.791472
Aktienstr.10,Aktienstr.10,51.4624388303885,6.930230208645
Albert-Vater-Straße70,Albert-Vater-Straße70,52.14017,11.616655
A81HegauWest,A81HegauWest,47.8614327318662,8.78613943965993
A9RaststätteGredingWest,A9RaststätteGredingWest,49.045639,11.337409
A71RaststätteMellrichstädterHöheOst,A71RaststätteMellrichstädterHöheOst,50.4211797,10.3509457
A93AutobahnraststätteInntalOst,A93AutobahnraststätteInntalOst,47.610851,12.202241
A8RaststätteBadReichenhallSüd,A8RaststätteBadReichenhallSüd,47.766446,12.902907
A8RaststätteHolzkirchenNord,A8RaststätteHolzkirchenNord,47.892974,11.730052
A8RaststätteHofoldingerForstSüd,A8RaststätteHofoldingerForstSüd,47.997239,11.675939
A8AutobahnraststätteBurgauerSeeNord,A8AutobahnraststätteBurgauerSeeNord,48.413146,10.427337
A8RaststätteSindelfingerWaldSüd,A8RaststätteSindelfingerWaldSüd,48.741374,9.033108
A8RaststätteChiemseeNord,A8RaststätteChiemseeNord,47.834148,12.402795
A81RaststätteNeckarburgWest,A81RaststätteNeckarburgWest,48.205725,8.620757
A7RaststätteWülferodeWest,A7RaststätteWülferodeWest,52.338367,9.8655848
A7RaststätteHasselhöheWest,A7RaststätteHasselhöheWest,53.330732,10.042978
A7RaststätteEllwangerBergeWest,A7RaststätteEllwangerBergeWest,48.984913,10.196179
A7RaststätteHannover-WülferodeWest,A7RaststätteHannover-WülferodeWest,52.338811,9.863824
A7RaststätteAllgäuerTorWest,A7RaststätteAllgäuerTorWest,47.848205,10.280836
A7RaststätteSeevetalOst,A7RaststätteSeevetalOst,53.348271,10.039243
A7RaststätteAllgäuerTorOst,A7RaststätteAllgäuerTorOst,47.847447,10.282955
AmStellwerk1,AmStellwerk1,48.769473,9.141997
AmStadtgraben8,AmStadtgraben8,47.6950605,9.2731151
AmStachus24,AmStachus24,47.9968619268412,9.11923734072855
AmSonnenfeld2,AmSonnenfeld2,51.6363,12.1991
AmSeegraben1,AmSeegraben1,51.717879,14.318019
AmSportpark1,AmSportpark1,49.0270233,8.4453166
AmSchlossplatz2,AmSchlossplatz2,47.713437,9.068497
AmRübenacherWald2,AmRübenacherWald2,50.347172,7.50745
AmStadtgraben1,AmStadtgraben1,47.721458,9.392029
AmSchlosssee1,AmSchlosssee1,47.76785,9.291221
AmHanfberg1,AmHanfberg1,52.9455,9.881022
AmMarktplatz99,AmMarktplatz99,48.961781,10.132441
AmLeuzebad2,AmLeuzebad2,48.797872,9.211598
AmKleinbahnhof2,AmKleinbahnhof2,52.964059,11.165428
AmMarkt1,AmMarkt1,48.709427,9.41851
AmFreibad1,AmFreibad1,49.143886,9.112623
AmKalkfeld2,AmKalkfeld2,51.37559,11.28502
AmHauptbahnhof2,AmHauptbahnhof2,48.786199,9.181773
AmHexenbuckel1,AmHexenbuckel1,48.696,9.0275
AmForst2,AmForst2,48.0965633,11.9612092
AmOberfeld1,AmOberfeld1,48.558164,10.852676
AmEschenbornrasen15,AmEschenbornrasen15,51.338824,9.862112
AmEichengarten1,AmEichengarten1,51.82129,12.30109
AmFestplatz1,AmFestplatz1,49.396112,8.591433
Altneudorferstraße73a,Altneudorferstraße73a,49.461194,8.805979
AmBahnhof21,AmBahnhof21,48.80024,13.550202
AmAnger99,AmAnger99,47.712531,9.385918
AmFeuersee2,AmFeuersee2,49.168793,9.917557
AlterSchulplatz2,AlterSchulplatz2,48.022632,8.888527
AmEchazufer60,AmEchazufer60,48.484425,9.222523
Altshauser24,Altshauser24,47.953496,9.576322
AmEngelberg29,AmEngelberg29,47.694439,9.845215
AlteZiegelei1,AlteZiegelei1,50.093442,10.782796
BAB4TuRWerratal-Süd,BAB4TuRWerratal-Süd,50.00697,10.1807897
BAB44RaststätteHellwegSüd,BAB44RaststätteHellwegSüd,51.595156,8.485109
AutobahnraststätteLorschWest,AutobahnraststätteLorschWest,49.64325,8.551827
AüßereBayreutherStrasse134,AüßereBayreutherStrasse134,49.47527,11.104245
